,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ENSG00000168994.9,0.10588074763181626,0.0030089560907975233,0.696970190453892,0.1959577541104893,0.10244366619652062,0.14920071015350495
ENSG00000117318.8,0.11480445825392108,0.0023481116584564863,1.15643185718283,0.217607333351943,0.07994439256417239,0.1487758629580577
ENSG00000158258.10,0.14762477814909356,0.0,-0.949045819888387,0.2972318467847644,0.0,0.1486159233923822
ENSG00000182578.9,0.14761912389575793,0.0,1.1343511132349933,0.29721812914971046,0.0,0.14860906457485523
ENSG00000125967.11,0.03837187130710746,0.007782203985273039,-0.5023853294196767,0.032176247808288,0.26495484921790136,0.14856554851309467
ENSG00000137267.5,0.05284667334648325,0.006710803054431116,-0.8817518268124216,0.06729318369139119,0.22847766709567238,0.14788542539353178
ENSG00000198743.5,0.08611410412883279,0.004338455566525742,1.0668317792311022,0.14800242106827222,0.14770813546428296,0.1478552782662776
ENSG00000170677.5,0.06472916564241438,0.005818128750750675,0.5829484446543026,0.09612098520139206,0.1980854560999273,0.14710322065065967
ENSG00000110400.6,0.04107717938449493,0.007484366209090473,-0.5243662481198511,0.038739524462381277,0.25481459033633236,0.14677705739935681
ENSG00000197747.4,0.1458995312059451,0.0,1.2495242686035366,0.29304627062833377,0.0,0.14652313531416689
ENSG00000213719.4,0.14588990924977702,0.0,1.0268206469477958,0.2930229270539688,0.0,0.1465114635269844
ENSG00000078401.6,0.12207210791004314,0.001695641762452107,0.9608326051046591,0.23523918671343472,0.05773024047535448,0.1464847135943946
ENSG00000122862.4,0.11413469372937184,0.002210526315789474,1.3326195867556498,0.21598243528415656,0.07526012782504238,0.14562128155459947
